id,participant_id,timestamp_utc,phase,post_id,category,has_face,has_text,colorfulness,visual_complexity,was_seen,liked,response,correct,confidence,dwell_time_sec,feed_position
155,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:30:49.529519,memory,sunset_noperson,travel,0,0,unknown,medium,1,,1,1,5,4.332,
156,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:23.920301,feed,sunset_person,travel,1,0,unknown,medium,1,0,,,,3.183,1
157,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:27.005359,feed,lighthouse_brighter,travel,0,0,bright,low,1,0,,,,2.912,2
158,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:32.490375,feed,eiffel_bright,travel,0,0,bright,medium,1,1,,,,5.346,3
159,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:35.151067,feed,ocean_bright,travel,0,0,bright,low,1,0,,,,2.52,4
160,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:37.591836,feed,trees_dark,travel,0,0,dark,medium,1,0,,,,2.308,5
161,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:40.717609,feed,beach,travel,0,0,unknown,medium,1,1,,,,2.858,6
162,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:44.087297,feed,eiffel_dark,travel,0,0,dark,medium,1,1,,,,3.232,7
163,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:47.101630,feed,lighthouse_darker,travel,0,0,dark,low,1,0,,,,2.795,8
164,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:50.087150,feed,lighthouse_bright,travel,0,0,bright,low,1,0,,,,2.85,9
165,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:31:52.183438,memory,lighthouse_brighter,travel,0,0,bright,low,1,,0,0,3,62.503,
